"","CLAY","SILT","SAND","field_name","sample_uuid","TEXCLASS"
"326",29.34,69.66,1,"South of House","864a1878-9e28-4159-9fbc-82bb03e8d952","SICL"
"327",23.58,46.85,29.57,"fallow syndyome study","86639892-283e-4c31-b677-9e1c9423692c","L"
"328",33.020202020202,55.1111111111111,11.8686868686869,"marv jacobsons","8693722b-aef4-4ebc-a0f4-7617b07a081e","SICL"
"329",22.6,41.06,36.34,"pnd","87f8fa19-e1f9-4e1d-ac89-7b2a52923864","L"
"330",28.69,67.31,4,"wales","889523c5-7a23-4bc8-ae5b-e0141db64bb3","SICL"
"331",30.16,42.08,27.76,"Haelys","88eae05b-3368-4ee0-99f7-9e08cf3a35d1","CL"
"332",13.5757575757576,30.010101010101,56.4141414141414,"Haelys","8963954b-130d-4712-a50b-f65a827e55c4","SL"
"333",25.57,69.9175,4.5125,"Moore 120","8a0786e8-5954-4442-8a83-7f99d27352b3","SIL"
"334",20.64,75.36,4,"Harvestore Hwy","8aa8f429-0b22-4ad0-bb75-4377747a5ed7","SIL"
"335",42.459,41.528,16.013,"Armbruster","8baabd98-e759-4bd2-b58b-1ad3384245e1","SIC"
"336",18,71,11,"StephenFarms_KaelinFarm","8bfe9ff7-0407-4405-bea3-666b3c2068a4","SIL"
"337",24.38,68.02,7.6,"house","8c4b9a13-42b3-46b1-ae45-2120c54e558d","SIL"
"338",26.75,60.75,12.5,"field-ne-001","8c89a847-f09e-4b62-80bd-313d0d660033","SIL"
"339",28.525,69.145,2.33,"cental il college","8cc40efc-f981-4dc8-b333-b9a94b3cda8e","SICL"
"340",28.4,61.6,10,"home 141","8d1768b2-2dad-438d-a41a-e73b21306d44","SICL"
"341",31.77,60.46,7.77,"west field","8d246ce6-d602-4856-9f93-2c66d149bd0d","SICL"
"342",31.97,66.291,1.739,"west field","8e0155c3-ffd7-4fb2-935d-1e78dde249b3","SICL"
"343",16.8,33.6,49.6,"BOB & WENDY Field 557","8ebf9f85-e089-42e5-9520-525d8a0ae6bf","L"
"344",26.8,69.2,4,"shiley north of 64","8fa1b5c3-c6ed-41fe-ad85-0ae566ff4f6c","SIL"
"345",13.45,77.1,9.45,"1-0003little30","8fb6d4a8-bfae-4a25-b7ed-5c1737121e06","SIL"
"346",13.5757575757576,30.010101010101,56.4141414141414,"YUSUF-MAIN-YUSUF MAIN-W OF RD-Soybeans","903639f8-e7d1-4339-817c-3980d3fff1ca","SL"
"347",26.8,69.2,4,"Maytown North 80_NO Product_1_poly","905a03c9-e3af-405b-98f9-56df0335bac0","SIL"
"348",23.16,71.84,5,"Burrus Seed Farms - BMN  - Boundary","90dce079-83e3-432e-b449-4000b668ae38","SIL"
"349",22,36.9,41.1,"pnd","9180175d-fc37-4d27-9ebb-24c7a03001be","L"
"350",17.5733333333333,74.76,7.66666666666667,"1-000830ac","91d51395-ca4e-460b-b742-5643d27afb77","SIL"
"351",28.48,63.81,7.71,"house","9228ec48-8565-4a63-9a1d-ce820b3d35a5","SICL"
"352",28.48,63.81,7.71,"house","92b105bd-b0f3-4af8-8c92-d09851c518cf","SICL"
"353",29.34,62.66,8,"Pine Creek","942537c8-3ce5-4b0a-ba55-ad3d33ca15ce","SICL"
"354",19,75,6,"StephenFarms_HomeFarm","9435fb9c-c87c-49d5-b6ee-678048060dde","SIL"
"355",25.065,67.135,7.8,"house","94684e01-e346-44e0-a553-5287995c59da","SIL"
"356",26.81,55.47,17.72,"SEED-516-Soybeans","94a44f3b-2c17-43ec-916e-c63cb1b115ff","SIL"
"357",13.45,77.1,9.45,"1-000318ACBYCREEK","94b914a6-bfd9-4349-82be-e29e799c4612","SIL"
"358",20.5,73.5,6,"1-0008HILLBYJAMO","94cc8fbe-bf14-4269-b5f8-58a6c52dcff6","SIL"
"359",29.3069306930693,66.3762376237624,4.31683168316832,"D Durdan Arnez","94d843ef-38a1-49bf-8068-ca955a2195db","SICL"
"360",15,76,9,"Burrus Seed Farms - OS  - Boundary","94facec0-1aa2-4cdf-b8f7-aa4cd119dd24","SIL"
"361",16.8,33.6,49.6,"SEED-544-Soybeans","956b0ae0-9b27-4739-b587-afa40dd86e8a","L"
"362",17.5733333333333,74.76,7.66666666666667,"1-0003little30","956b1fa1-8d2e-406c-b29e-2eb4d49f017a","SIL"
"363",22,50.5,27.5,"SEED-516-Soybeans","95790389-404f-4c10-be61-13908ae33a8e","SIL"
"364",28.6,64.1,7.3,"north bins","95c2e03b-40ea-4c4e-8f04-740eafab0718","SICL"
"365",16.8,33.6,49.6,"526 clone","965cc385-7761-4321-b928-4a413bd254f5","L"
"366",13.12,35.7,51.18,"Vandyke","96a93283-e849-4c4a-b3a7-7f36b02dc9ce","L"
"367",12.72,19.62,67.66,"Kelsey Cannon Harvest","96b26532-0ebf-4559-873b-625cecc0157d","SL"
"368",28.34,68.66,3,"South of House","96bd58bc-8018-41d2-8fc9-3a24d6daf0df","SICL"
"369",13.7,30.55,55.75,"523 clone","96fda453-300d-428a-9a56-0f9d2ffb3580","SL"
"370",13.45,77.1,9.45,"1-0003FIELDSBYDRIVE","980acc9d-c7dd-4d61-abb3-5790ac11ca2f","SIL"
"371",25.065,67.135,7.8,"house","98952a06-5963-46ef-bad9-4836cc538f50","SIL"
"372",28.48,63.81,7.71,"house","98d1926f-7bed-43ed-8d07-b6092fd1cc87","SICL"
